iter	Passed	Remaining
415	3220	4521
416	3227	4512
417	3239	4510
418	3248	4504
419	3255	4495
420	3262	4486
421	3269	4477
422	3275	4468
423	3284	4461
424	3291	4452
425	3297	4443
426	3306	4436
427	3315	4431
428	3321	4421
429	3328	4412
430	3342	4413
431	3351	4407
432	3358	4397
433	3364	4388
434	3372	4379
435	3383	4376
436	3389	4367
437	3396	4357
438	3403	4349
439	3412	4343
440	3419	4334
441	3425	4324
442	3436	4321
443	3444	4313
444	3452	4305
445	3458	4296
446	3465	4287
447	3475	4282
448	3482	4273
449	3488	4264
450	3495	4255
451	3505	4249
452	3511	4240
453	3518	4232
454	3532	4231
455	3541	4224
456	3548	4215
457	3554	4206
458	3561	4197
459	3570	4191
460	3578	4184
461	3586	4176
462	3592	4166
463	3604	4163
464	3611	4155
465	3619	4147
466	3636	4150
467	3643	4141
468	3649	4132
469	3656	4122
470	3665	4116
471	3674	4109
472	3682	4103
473	3689	4093
474	3698	4088
475	3706	4079
476	3711	4069
477	3723	4066
478	3732	4059
479	3739	4051
480	3746	4042
481	3753	4033
482	3762	4027
483	3771	4020
484	3777	4011
485	3784	4002
486	3793	3996
487	3804	3991
488	3811	3983
489	3826	3983
490	3833	3973
491	3840	3965
492	3846	3955
493	3852	3946
494	3862	3940
495	3869	3931
496	3875	3922
497	3882	3913
498	3891	3907
499	3898	3898
500	3905	3889
501	3920	3889
502	3929	3882
503	3936	3874
504	3942	3864
505	3949	3855
506	3959	3850
507	3966	3841
508	3973	3832
509	3979	3823
510	3989	3817
511	3996	3809
512	4002	3799
513	4016	3797
514	4024	3790
515	4031	3781
516	4037	3772
517	4044	3763
518	4052	3756
519	4059	3746
520	4065	3737
521	4071	3728
522	4080	3721
523	4087	3713
524	4094	3704
525	4101	3695
526	4115	3693
527	4122	3685
528	4128	3676
529	4135	3667
530	4144	3660
531	4152	3653
532	4159	3644
533	4168	3637
534	4178	3631
535	4186	3624
536	4192	3615
537	4199	3606
538	4213	3603
539	4220	3594
540	4226	3586
541	4233	3577
542	4243	3571
543	4249	3561
544	4255	3553
545	4262	3544
546	4269	3536
547	4279	3529
548	4285	3520
549	4291	3511
550	4299	3503
551	4312	3499
552	4321	3493
553	4328	3484
554	4337	3477
555	4345	3470
556	4352	3461
557	4361	3455
558	4371	3448
559	4377	3439
560	4384	3430
561	4391	3422
562	4404	3418
563	4411	3410
564	4418	3401
565	4424	3392
566	4433	3385
567	4440	3377
568	4446	3367
569	4452	3359
570	4459	3350
571	4468	3343
572	4476	3335
573	4482	3326
574	4489	3318
575	4505	3316
576	4512	3307
577	4519	3299
578	4526	3291
579	4534	3283
580	4541	3274
581	4548	3266
582	4555	3258
583	4565	3252
584	4572	3243
585	4578	3234
586	4585	3226
587	4601	3223
588	4607	3214
589	4613	3206
590	4620	3197
591	4629	3190
592	4636	3181
593	4642	3173
594	4649	3164
595	4658	3157
596	4665	3149
597	4671	3140
598	4678	3132
599	4688	3125
600	4698	3119
601	4705	3111
602	4712	3102
603	4723	3096
604	4730	3088
605	4737	3080
606	4745	3072
607	4759	3068
608	4765	3059
609	4773	3051
610	4780	3043
611	4795	3040
612	4802	3031
613	4809	3023
614	4817	3015
615	4824	3007
616	4831	2998
