iter	Logloss
0	0.6779714938
1	0.6652983622
2	0.6523928024
3	0.6397918224
4	0.6284263207
5	0.616530656
6	0.606511972
7	0.5966270833
8	0.5869541448
9	0.5781906175
10	0.5696298025
11	0.5615832049
12	0.5544847295
13	0.5469941686
14	0.5407637648
15	0.5341644704
16	0.5282384624
17	0.5227677555
18	0.5173776682
19	0.5120767455
20	0.507069725
21	0.5027965143
22	0.4982827244
23	0.4940025953
24	0.4902419557
25	0.4864529848
26	0.483612824
27	0.4806279909
28	0.4773632171
29	0.4743981679
30	0.471266177
31	0.468232959
32	0.4655231678
33	0.463512594
34	0.4608394236
35	0.4583514013
36	0.4561779509
37	0.4538436471
38	0.4514313752
39	0.4496476883
40	0.4476488903
41	0.4457399515
42	0.4436740172
43	0.4418917294
44	0.440214428
45	0.4387621137
46	0.4372584759
47	0.43559751
48	0.434083919
49	0.4327562539
50	0.4315920657
51	0.4302854809
52	0.4290819035
53	0.4278599904
54	0.4266361807
55	0.4254927982
56	0.4249061691
57	0.423523519
58	0.4225619923
59	0.421507633
60	0.4205848266
61	0.4196885261
62	0.4186861567
63	0.4178507198
64	0.4170792961
65	0.4162436415
66	0.4155087721
67	0.4146613588
68	0.413958472
69	0.4132943153
70	0.4126457996
71	0.4121293816
72	0.4115027606
73	0.4108106567
74	0.4101221793
75	0.4095320949
76	0.4088448252
77	0.4083017497
78	0.407644914
79	0.4069959429
80	0.40639812
81	0.4058849177
82	0.4055405952
83	0.405086555
84	0.4046910804
85	0.4044064805
86	0.4038709854
87	0.4034198961
88	0.4029113369
89	0.4023936175
90	0.4019290022
91	0.4015122122
92	0.4010859375
93	0.4006492536
94	0.4002218262
95	0.3998676188
96	0.3994873001
97	0.3990481776
98	0.398589224
99	0.3982799152
100	0.3977757005
101	0.3974218555
102	0.3969856657
103	0.396584654
104	0.396184875
105	0.3959804502
106	0.3956844485
107	0.3953229939
108	0.3949517706
109	0.3946655978
110	0.3942777339
111	0.3940182384
112	0.3937770996
113	0.3934791726
114	0.3931861085
115	0.3928907316
116	0.3926096111
117	0.3922004632
118	0.3920086996
119	0.3917048009
120	0.3914779907
121	0.3912525187
122	0.390974863
123	0.3907406614
124	0.3904104315
125	0.3902276325
126	0.3899343642
127	0.389806679
128	0.3894995592
129	0.3894764034
130	0.3893312295
131	0.3890335812
132	0.3888551105
133	0.3885899918
134	0.3883433842
135	0.3881649297
136	0.3879873339
137	0.3877519516
138	0.3875497498
139	0.3873117761
140	0.3869727151
141	0.3867490765
142	0.3865219564
143	0.3862361369
144	0.3859370467
145	0.38570473
146	0.3855977474
147	0.3854152097
148	0.3851791721
149	0.3850245258
