iter	Logloss
0	0.4967894801
1	0.3715201469
2	0.2849225653
3	0.2317138637
4	0.1941695685
5	0.170234925
6	0.1537802644
7	0.1414756453
8	0.1329014655
9	0.1263759784
10	0.1220725184
11	0.118997831
12	0.1168975062
13	0.1145513705
14	0.1126932113
15	0.1118756676
16	0.110674049
17	0.1092293885
18	0.1081118207
19	0.1071175932
20	0.1061451186
21	0.1056656067
22	0.105057733
23	0.1045440461
24	0.1039479666
25	0.1034552333
26	0.1031848501
27	0.1027650285
28	0.1023206337
29	0.1020868141
30	0.1017142598
31	0.1014403624
32	0.1009649741
33	0.1005468854
34	0.1003631953
35	0.100200969
36	0.09992537062
37	0.09975597928
38	0.09959576119
39	0.09944325541
40	0.09913236966
41	0.09884610432
42	0.09855699011
43	0.09819856357
44	0.09798017608
45	0.09776525013
46	0.09752095161
47	0.0973414154
48	0.09711684617
49	0.09683367953
50	0.09667649156
51	0.09648837511
52	0.09629460027
53	0.09613112227
54	0.09593662705
55	0.09562561162
56	0.09547167769
57	0.09533855747
58	0.09518819036
59	0.09502933131
60	0.09481138411
61	0.09472793243
62	0.09456301462
63	0.09443897579
64	0.09430301694
65	0.09413840696
66	0.09405706018
67	0.09385294339
68	0.09379475774
69	0.0936018252
70	0.09343035983
71	0.09336430652
72	0.09322131773
73	0.09307136608
74	0.09291797807
75	0.09277831086
76	0.09265313807
77	0.09252360931
78	0.09231200145
79	0.09212995698
80	0.0920316193
81	0.09194193486
82	0.09183334811
83	0.09166094914
84	0.09161306699
85	0.09151649008
86	0.09140767189
87	0.09128947599
88	0.09120624702
89	0.09106837031
90	0.09100217119
91	0.09090482294
92	0.09076586482
93	0.09070995103
94	0.09056835324
95	0.09040559146
96	0.09024503877
97	0.09015812283
98	0.09002822188
99	0.08998855479
100	0.08990629918
101	0.08980707155
102	0.08973683396
103	0.08961854113
104	0.08948252511
105	0.0893745756
106	0.08925394213
107	0.08913332928
108	0.08905126652
109	0.08897201124
110	0.08891862199
111	0.08885805314
112	0.08875738609
113	0.08872627349
114	0.08866654489
115	0.0885932388
116	0.08852906138
117	0.08848835563
118	0.08842192713
119	0.08836440427
120	0.08826390211
121	0.08820574302
122	0.08804864848
123	0.08792891275
124	0.08789234122
125	0.08779235574
126	0.08767542533
127	0.08757236115
128	0.08741713021
129	0.08736412515
130	0.08725831313
131	0.08717432599
132	0.0871333617
133	0.0870274481
134	0.08697384618
135	0.0869075398
136	0.08684624272
137	0.08675236554
138	0.08667717713
139	0.08660854667
140	0.08656667458
141	0.08650533864
142	0.08645197162
143	0.08632963473
144	0.08620330896
145	0.08614831598
146	0.08607482024
147	0.08602707187
148	0.08597258181
149	0.08593649312
150	0.08587178533
151	0.08580526675
152	0.08575397462
153	0.08560969572
154	0.08552846267
155	0.08548232811
156	0.08545203241
157	0.08538535044
158	0.08531752346
159	0.08521225455
160	0.08514739836
161	0.08509636436
162	0.0850429956
163	0.08494476962
164	0.08484380507
165	0.0847165625
166	0.08467955273
167	0.08461447639
168	0.08453840112
169	0.08448568115
170	0.08437300391
171	0.08429541328
172	0.08423768079
173	0.08415046028
174	0.08406839578
175	0.08399872448
176	0.08395276935
177	0.08391337721
178	0.08376509987
179	0.08371925263
180	0.08368517276
181	0.08359754629
182	0.0835140953
183	0.08348365014
184	0.0834644501
185	0.08342252491
186	0.0833479604
187	0.08331260854
188	0.08328301241
